URL,TITLE,LOCATION,PRICE PER MONTH,AREA IN m²,NUMBER OF ROOMS,INTERIOR,DESCRIPTION,OFFERED SINCE,AVAILABILITY,SPECIFICATION,UPKEEP STATUS,VOLUME,TYPE,CONSTRUCTION TYPE,CONSTRUCTION YEAR,LOCATION TYPE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,NUMBER OF FLOORS,DETAILS OF BALCONY,DETAILS OF GARDEN,DETAILS OF STORAGE,DESCRIPTION OF STORAGE,GARAGE,CONTACT DETAILS
https://www.pararius.com/apartment-for-rent/amsterdam/ed8e84b4/palmgracht,Apartment Palmgracht,1015 HN (Jordaan),1750,50,2,Furnished,PALMGRACHT (CA.50M2) AMSTERDAM-CENTRE/JORDAAN  ,22-07-2022,01-09-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,1,1,Number of floors is not available,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/ed8e84b4/amsterdam/amsterdam-city-homes/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/5aa56840/van-brakelstraat,Apartment Van Brakelstraat,1057 XC (Chassébuurt),1550,57,2,Upholstered,A unique combination of quiet living and a central location in the city. Light and practically classified 2-room apartment of 57m2 in the nice neighborhood De Baarsjes.,22-07-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,1,1,Number of floors is not available,Details of balcony is not available,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/5aa56840/amsterdam/123wonen-amsterdam/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/aa0f6bc7/runstraat,Apartment Runstraat 12 I,1016 GK (Grachtengordel-West),2275,80,3,Upholstered,"All fresh! Newly renovated two bedroom home on first floor with characteristic beams, nice wooden floor and inner patio on super location on the Runstraat, one of the very nice Nine Streets connecting the three principal Amsterdam canals.",22-07-2022,15-08-2022,Specifics are not available,Excellent,220,Apartment,Existing building,1934,In the city centre,2,1,2,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/aa0f6bc7/amsterdam/amsterdam-beautiful-property-rental/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/e2fe87f6/sint-pieterspoortsteeg,Apartment Sint Pieterspoortsteeg,1012 HM (Burgwallen-Oude Zijde),1700,63,2,Furnished,-- FOR RENT --,22-07-2022,01-08-2022,Monumental building,Reasonable,190,Apartment,Existing building,1822,In the city centre,1,1,1,Details of balcony is not available,Details of garden is not available,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/e2fe87f6/amsterdam/cityhop-real-estate-amsterdam/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/bee84af2/sajetplein,Apartment Sajetplein 26,1091 DJ (Oosterparkbuurt),1950,75,3,Furnished,"*one viewing moment: next Wednesday, July 27 between 15:00 till 17:30 *   ",22-07-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,1989,Location type is not available,2,1,Number of floors is not available,Present,Details of garden is not available,Present,Details of description of the storage is not available,No,https://www.pararius.com/contact/bee84af2/amsterdam/amsterdam-house-hunting-amstelveen/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/3dd993d4/kleiburg,Apartment Kleiburg,"1104 EA (Bijlmer Oost (E,G,K))",2095,132,4,Furnished,Beautifully renovated apartment with large balcony and unparalleled view!,22-07-2022,15-08-2022,Specifics are not available,Excellent,398,Apartment,Existing building,2015,in a residential area,3,1,1,Present,Details of garden is not available,Not present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/3dd993d4/amsterdam/househunting-randstad/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/d37b639a/osdorpplein,Apartment Osdorpplein,1068 TD (Osdorp-Oost),2200,58,2,Furnished,Brand new fully furnished luxury 1 bedroom apartment with balcony in the beautiful neighbourhood of Amsterdam.  The apartment and the building “The hub” has just been constructed and comes with all modern comfort and facilities.  The apartment has a solar panel fitting that produces around 600 KW energy every year. ,22-07-2022,Not available to book,Specifics are not available,Excellent,160,Apartment,New development,2022,Location type is not available,1,1,1,Present,Details of garden is not available,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/d37b639a/amsterdam/amsterdam-rentals/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/b1be1e2e/albatrospad,Apartment Albatrospad 92,1021 TR (IJplein/Vogelbuurt),1800,85,3,Furnished,"Albatrospad, Noord/Amsterdam (approx. 85 m²) € 1800,- excl. G/W/E + optional private parking € 100,- per month",22-07-2022,22-08-2022,Specifics are not available,Good,230,Apartment,Existing building,2006,Location type is not available,2,1,1,Not present,Details of garden is not available,Details of storage is not available,Parkeerkelder,Yes,https://www.pararius.com/contact/b1be1e2e/amsterdam/koops-makelaardij-amsterdam/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/8c978f4d/nieuwezijds-voorburgwal,Apartment Nieuwezijds Voorburgwal 308 F,1012 RV (Burgwallen-Nieuwe Zijde),2000,64,2,Upholstered or furnished,NEW FOR RENT,22-07-2022,01-08-2022,Specifics are not available,Upkeep is not available,180,Apartment,Existing building,1723,In the city centre,1,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Details of garage is not available,https://www.pararius.com/contact/8c978f4d/amsterdam/27-huis-makelaars/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/c7cfc484/oudezijds-achterburgwal,Apartment Oudezijds Achterburgwal,1012 DW (Burgwallen-Oude Zijde),1600,50,2,Upholstered,NIET GESCHIKT VOOR DELERS,22-07-2022,01-08-2022,Monumental building,Reasonable,150,Apartment,Existing building,1905,Location type is not available,Number of bedrooms is not available,Number of bathrooms is not available,1,Details of balcony is not available,Details of garden is not available,Not present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/c7cfc484/amsterdam/cityhop-real-estate-amsterdam/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/70674fba/prinseneiland,Apartment Prinseneiland,1013 LP (Haarlemmerbuurt),1900,65,2,Furnished,Do you want to live in a beautiful monumental building (b.1664) in the center of Amsterdam? This spacious two-room apartment of approximately 75m2 is fully equipped. The kitchen and bathroom are very complete with all appliances built in and the bathroom has a bath and separate shower. A real 'eyecatcher' in the house are the original wooden beams on the ceiling.,22-07-2022,01-08-2022,Specifics are not available,Good,Volume is not available,Apartment,Existing building,1664,Location type is not available,1,1,1,Details of balcony is not available,Details of garden is not available,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/70674fba/amsterdam/compass-housing-amsterdam/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/8877fe41/kerkstraat,Apartment Kerkstraat,1017 JC (Grachtengordel-Zuid),10000,203,7,Upholstered,"Luxurious, unique and charming mansion on one of the finest locations in Amsterdam. With no less than 203m2 living space and approx. 40m2 of south facing terrace. This unique house has been completely renovated 7 years ago and is foreseen with double glazed windows throughout.",22-07-2022,15-08-2022,Specifics are not available,Excellent,863,Apartment,Existing building,Before 1906,Location type is not available,4,3,4,Not present,Details of garden is not available,Details of storage is not available,Inpandig,Yes,https://www.pararius.com/contact/8877fe41/amsterdam/valerius-rentals/request-details
https://www.pararius.com/house-for-rent/amsterdam/453d2033/kantershof,House Kantershof,"1104 GM (Bijlmer Oost (E,G,K))",1750,90,4,Furnished,Beautiful bright family house with deep back garden and private parking located on the Kantershof in a quiet and child-friendly location.,22-07-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,House,Existing building,1974,Location type is not available,3,1,Number of floors is not available,Details of balcony is not available,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/453d2033/amsterdam/123wonen-amstelveen/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/688d0407/koninginneweg,Apartment Koninginneweg 8 1,1075 CX (Willemspark),3950,132,3,Upholstered,A unique home in a spacious and well-planned apartment with a view of Koningsvijver pond. ,22-07-2022,08-08-2022,Monumental building,Good,363,Apartment,Existing building,1925,Location type is not available,2,1,1,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/688d0407/amsterdam/broersma-makelaardij/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/ccac8251/johannes-verhulststraat,Apartment Johannes Verhulststraat,1071 NN (Museumkwartier),3500,113,4,Upholstered,This apartment is not suitable for sharing and/of students!,22-07-2022,01-09-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,3,2,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/ccac8251/amsterdam/aham-vastgoed/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/f3c2fc53/van-baerlestraat,Apartment Van Baerlestraat 18 2,1071 AW (Museumkwartier),2500,89,3,Upholstered,Lovely upholstered apartment for rent in Amsterdam with 2 bedrooms in the Museumkwartier district.,22-07-2022,01-08-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,1910,Location type is not available,2,1,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/f3c2fc53/amsterdam/amsterdamse-maatschappij/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/1b651ebe/orteliuskade,Apartment Orteliuskade 46 HS,1057 AH (Hoofdweg e.o.),1700,60,2,Upholstered,"TO SCHEDULE A VIEWING, DO NOT CALL BUT BOOK YOUR VIEWING AT THE LINK BELOW OR APPLYFOR A VIEWING VIA THE ADVERTISEMENT",22-07-2022,15-08-2022,Specifics are not available,Upkeep is not available,150,Apartment,Existing building,1906,Location type is not available,1,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/1b651ebe/amsterdam/housingnet/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/9c4cb283/zeeburgerkade,Apartment Zeeburgerkade,1019 HT (Oostelijk Havengebied),1800,80,2,Furnished,"Great and spacious apartment for rent in the popular Zeeburg area, on the border of the City Centre and at the water side, option: a private parking spot a € 150 per month.",22-07-2022,01-09-2022,Specifics are not available,Good,235,Apartment,Existing building,1990,By the water,1,1,1,Present,Details of garden is not available,Not present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/9c4cb283/amsterdam/a-plus-apartments/request-details
https://www.pararius.com/house-for-rent/amsterdam/cbb7d99d/g-j-scheurleerweg,House G.J. Scheurleerweg 70,1022 KL (Elzenhagen),2750,118,5,Furnished,"Practical, fully furnished and spacious 5-room family house from 2014 of approx. 120m2 with sunny garden and parking for 2 cars.",22-07-2022,01-09-2022,Specifics are not available,Good,380,House,Existing building,2014,Location type is not available,4,1,3,Not present,Details of garden is not available,Present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/cbb7d99d/amsterdam/parker-williams-real-estate-services/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/366e55fb/tolstraat,Apartment Tolstraat 36 PP,1073 SB (Zuid Pijp),2650,88,4,Furnished,"Spacious and bright apartment with 3 bedrooms in the popular district ‘De Pijp’, with large terrace. Ideal for expats or a small family!",22-07-2022,05-08-2022,Specifics are not available,Excellent,240,Apartment,Existing building,2005,Location type is not available,3,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/366e55fb/amsterdam/amsterhomes/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/ed912f52/arubastraat,Apartment Arubastraat 2 hs,1058 VE (Westindische Buurt),2450,90,4,Furnished,THIS LISTING IS ALSO PERFECT TO USE AS AN OFFICE OR PRACTICE WITH LIVING PURPOSES (HOME OFFICE),3 weeks,Not available to book,Specifics are not available,Upkeep is not available,286,Apartment,Existing building,1928,Location type is not available,3,1,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Details of garage is not available,https://www.pararius.com/contact/ed912f52/amsterdam/makelaarshuis-amsterdam-zaanstad/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/da82b951/klaas-katerstraat,Apartment Klaas Katerstraat,1069 RT (Osdorp-Midden),2000,79,3,Furnished,KLAAS KATERSTRAAT (CA.79M2) AMSTERDAM-NIEUWE WEST / AKER  ,21-07-2022,01-09-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,2,1,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/da82b951/amsterdam/amsterdam-city-homes/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/cb289cd4/dirk-van-hasseltssteeg,Apartment Dirk van Hasseltssteeg 34,1012 NE (Burgwallen-Nieuwe Zijde),2150,95,3,Upholstered,"Charmant 3-kamer appartement van 95 m2 (2 slaapkamers) gelegen in hartje centrum, met een gemeenschappelijk dakterras met buitenkeuken en privé patio.",22-07-2022,01-09-2022,Monumental building,Good,250,Apartment,Existing building,1918,In the city centre,2,Number of bathrooms is not available,1,Details of balcony is not available,Details of garden is not available,Not present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/cb289cd4/amsterdam/amsterdam-wonen-2/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/87cb8ee6/europaplein,Apartment Europaplein 47,1078 GV (Scheldebuurt),2225,90,4,Furnished,Lovely furnished apartment with balcony for rent in Amsterdam with 2 bedrooms in the Scheldebuurt district.,22-07-2022,01-09-2022,Specifics are not available,Excellent,270,Apartment,Existing building,1900,in a residential area,2,1,1,Present,Details of garden is not available,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/87cb8ee6/amsterdam/viadaan-nijmegen/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/e8767748/koningin-wilhelminaplein,Apartment Koningin Wilhelminaplein,1062 KS (Westlandgracht),1875,80,3,Interior is not available,Apartment with balcony for rent in Amsterdam with 2 bedrooms in the Westlandgracht district.,22-07-2022,Not available to book,Specifics are not available,Good,208,Apartment,Existing building,2016,Location type is not available,2,Number of bathrooms is not available,1,Present,Details of garden is not available,Details of storage is not available,Garage mogelijk,Yes,https://www.pararius.com/contact/e8767748/amsterdam/wooove-b-v/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/cbb1f4d9/johannes-verhulststraat,Apartment Johannes Verhulststraat,1071 NA (Museumkwartier),3500,150,5,Upholstered,"For rent per 1 September via Home of Orange: stylish double upstairs apartment (150 m2) with 3 bedrooms, 2 bathrooms, a sunny balcony (location South) and a spacious sunny roof terrace (29 m2) with stunning views, in the stately Johannes Verhulststraat in the chic Oud-Zuid, within walking distance of the Vondelpark and the PC Hooftstraat",22-07-2022,Not available to book,Specifics are not available,Good,375,Apartment,Existing building,1904,Location type is not available,3,Number of bathrooms is not available,1,Details of balcony is not available,Details of garden is not available,Not present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/cbb1f4d9/amsterdam/home-of-orange/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/18bb0b5f/herengracht,Apartment Herengracht 26 I,1015 BL (Grachtengordel-West),2500,74,2,Furnished,"Charming, high-quality 1-bedroom apartment (approx. 74sqm) located on a prime location with a beautiful view over the Herengracht canal! ",22-07-2022,01-08-2022,Monumental building,Upkeep is not available,225,Apartment,Existing building,1615,Location type is not available,1,1,1,Not present,Details of garden is not available,Present,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/18bb0b5f/amsterdam/listings/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/11992a00/minervaplein,Apartment Minervaplein,1077 TJ (Apollobuurt),2750,110,3,Furnished,"This beautiful and spacious 2 bedroom apartment is full of light and is situated in a great location, on the fourth floor of a famous and characteristic 1930’s building with elevator at the Minervaplein. Within walking distance of the lovely Beethovenstraat.  ",22-07-2022,01-09-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,2,1,Number of floors is not available,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/11992a00/amsterdam/interhouse-verhuurmakelaars-amsterdam/request-details
https://www.pararius.com/house-for-rent/amsterdam/56922192/valkenburgerstraat,House Valkenburgerstraat 198 A,1011 NC (Nieuwmarkt/Lastage),2200,84,3,Upholstered,Lovely house for rent in Amsterdam with 2 bedrooms in the Nieuwmarkt/Lastage district.,22-07-2022,Not available to book,Specifics are not available,Good,252,House,Existing building,2001-2010,Location type is not available,2,1,1,Not present,Details of garden is not available,Present,Inpandig,Yes,https://www.pararius.com/contact/56922192/amsterdam/hoen-vastgoedbeheer/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/de8f6383/stadionkade,Apartment Stadionkade 99 H,1076 BM (Stadionbuurt),2600,80,3,Interior is not available,Apartment with garden for rent in Amsterdam with 2 bedrooms in the Stadionbuurt district.,22-07-2022,Not available to book,Specifics are not available,Excellent,240,Apartment,Existing building,1930,Location type is not available,2,Number of bathrooms is not available,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/de8f6383/amsterdam/bijleveld-makelaardij/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/201d3bfe/rubensstraat,Apartment Rubensstraat 64 hs,1077 MX (Apollobuurt),3300,125,4,Upholstered,"UNFURNISHED .A beautifully renovated ground floor apartment with large garden (110 m2) available per 1st September 2022. The apartment has 2 bedrooms, a large kitchen and 2 bathrooms. A 3rd guest bedroom can be created by closing one of the two en suite rooms in the living. The ceilings are 3 meters high. The total apartment is  125 m2.",22-07-2022,01-09-2022,Specifics are not available,Excellent,375,Apartment,Existing building,1920,Location type is not available,3,2,1,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/201d3bfe/amsterdam/020-makelaars-amsterdam/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/775b8587/eerste-hugo-de-grootstraat,Apartment Eerste Hugo de Grootstraat 39 1,1052 KN (Frederik Hendrikbuurt),1650,45,2,Upholstered,"For rent in the heart of the popular Frederik Hendrikbuurt: a bright and renovated apartment with a separate storage space. With a living space of 45 square meters, this is the ideal 1-bedroom apartment. The apartment comes with a nice balcony, to enjoy all your sunny afternoons on.   ",21-07-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,1,1,Number of floors is not available,Not present,Details of garden is not available,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/775b8587/amsterdam/the-tenants-group/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/da82b951/klaas-katerstraat,Apartment Klaas Katerstraat,1069 RT (Osdorp-Midden),2000,79,3,Furnished,KLAAS KATERSTRAAT (CA.79M2) AMSTERDAM-NIEUWE WEST / AKER  ,21-07-2022,01-09-2022,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,2,1,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Yes,https://www.pararius.com/contact/da82b951/amsterdam/amsterdam-city-homes/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/b7c97a09/pieter-baststraat,Apartment Pieter Baststraat,1071 TV (Museumkwartier),2250,73,3,Upholstered,This beautiful house with lots of light in the Museum Quarter will be offered fully furnished.,21-07-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,Constructed year is not available,Location type is not available,2,1,Number of floors is not available,Details of balcony is not available,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/b7c97a09/amsterdam/123wonen-amsterdam/request-details
https://www.pararius.com/apartment-for-rent/amsterdam/dffd515b/eerste-leliedwarsstraat,Apartment Eerste Leliedwarsstraat,1015 SZ (Jordaan),2000,35,2,Furnished,YES! This is definitely the place to be if you want to experience the right authentic feeling of the JORDAAN in a brand new renovated high designed 1 bedroom apartment.,21-07-2022,Not available to book,Specifics are not available,Excellent,Volume is not available,Apartment,Existing building,1930,In the city centre,1,Number of bathrooms is not available,1,Details of balcony is not available,Details of garden is not available,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/dffd515b/amsterdam/first-class-housing/request-details
